# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed May 13 14:59:58 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 9.00000 0.7510547638 2.4003161194    0.751 -0.683  3.6759  4.652    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-14      0.00 7.144e-01 2.710e-01 2.588e-03 7.068e-04 6.420e-03 -1.000 1.461e-02 6.478 6.536 7.093 5.828
0.01471 0.00000 9.00000 0.8000000119 2.4187244405    0.800 -0.554  3.6957  4.630    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-14      0.00 7.150e-01 2.705e-01 2.584e-03 7.057e-04 6.411e-03 -1.000 1.459e-02 6.155 6.149 6.644 5.492
0.01471 0.00000 9.00000 0.8010122180 2.4190779167    0.801 -0.551  3.6961  4.630    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-14      0.00 7.150e-01 2.704e-01 2.584e-03 7.057e-04 6.410e-03 -1.000 1.458e-02 6.149 6.141 6.636 5.486
0.01471 0.00000 9.00000 0.8500000238 2.4350346840    0.850 -0.428  3.7149  4.607    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-14      0.00 7.156e-01 2.700e-01 2.580e-03 7.045e-04 6.400e-03 -1.000 1.449e-02 5.841 5.786 6.230 5.175
0.01471 0.00000 9.00000 0.8999999762 2.4492786016    0.899 -0.309  3.7324  4.582    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.32e-14      0.00 7.162e-01 2.692e-01 2.574e-03 7.029e-04 6.385e-03 -1.000 1.452e-02 5.542 5.454 5.857 4.882
0.01471 0.00000 9.00000 0.9066366553 2.4510339126    0.906 -0.293  3.7345  4.578    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-14      0.00 7.164e-01 2.691e-01 2.573e-03 7.026e-04 6.383e-03 -1.000 1.452e-02 5.503 5.411 5.810 4.844
0.01471 0.00000 9.00000 0.9499999881 2.4618121868    0.950 -0.194  3.7480  4.554    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.35e-14      0.00 7.172e-01 2.683e-01 2.566e-03 7.008e-04 6.367e-03 -1.000 1.451e-02 5.256 5.147 5.512 4.612
0.01471 0.00000 9.00000 0.9986042380 2.4726228043    0.999 -0.087  3.7618  4.524    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.63e-14      0.00 7.185e-01 2.671e-01 2.556e-03 6.981e-04 6.342e-03 -1.000 1.442e-02 4.988 4.868 5.202 4.364
0.01471 0.00000 9.00000 1.0000000000 2.4729154477    1.000 -0.084  3.7621  4.523    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-14      0.00 7.185e-01 2.671e-01 2.556e-03 6.980e-04 6.341e-03 -1.000 1.441e-02 4.980 4.860 5.194 4.358
0.01471 0.00000 9.00000 1.0180330276 2.4766135269    1.018 -0.045  3.7667  4.510    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.06e-14      0.00 7.192e-01 2.664e-01 2.550e-03 6.966e-04 6.328e-03 -1.000 1.437e-02 4.883 4.760 5.084 4.269
0.01471 0.00000 9.00000 1.0499999523 2.4828114860    1.049  0.022  3.7747  4.488    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.83e-14      0.00 7.205e-01 2.652e-01 2.540e-03 6.938e-04 6.304e-03 -1.000 1.430e-02 4.714 4.588 4.894 4.117
0.01471 0.00000 9.00000 1.1000000238 2.4916801480    1.099  0.125  3.7861  4.450    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.15e-14      0.00 7.237e-01 2.621e-01 2.514e-03 6.870e-04 6.242e-03 -1.000 1.416e-02 4.457 4.329 4.610 3.885
0.01471 0.00000 9.00000 1.1217247248 2.4952513751    1.121  0.169  3.7906  4.433    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.75e-14      0.00 7.253e-01 2.606e-01 2.503e-03 6.839e-04 6.215e-03 -1.000 1.411e-02 4.348 4.220 4.492 3.787
0.01471 0.00000 9.00000 1.1499999762 2.4996678137    1.149  0.224  3.7964  4.412    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.59e-14      0.00 7.274e-01 2.586e-01 2.488e-03 6.798e-04 6.179e-03 -1.000 1.405e-02 4.209 4.082 4.341 3.663
0.01471 0.00000 9.00000 1.2000000477 2.5068948796    1.199  0.320  3.8062  4.373    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-13      0.00 7.272e-01 2.587e-01 2.496e-03 6.823e-04 6.202e-03 -1.000 1.408e-02 3.969 3.844 4.084 3.449
0.01471 0.00000 9.00000 1.2500000000 2.5134610955    1.250  0.411  3.8153  4.337    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 7.275e-01 2.584e-01 2.495e-03 6.821e-04 6.201e-03 -1.000 1.410e-02 3.742 3.619 3.842 3.246
0.01471 0.00000 9.00000 1.2523998022 2.5137611183    1.252  0.415  3.8157  4.335    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-13      0.00 7.276e-01 2.583e-01 2.495e-03 6.821e-04 6.201e-03 -1.000 1.410e-02 3.732 3.608 3.830 3.236
0.01471 0.00000 9.00000 1.2999999523 2.5194498592    1.300  0.497  3.8240  4.303    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-13      0.00 7.278e-01 2.581e-01 2.493e-03 6.815e-04 6.196e-03 -1.000 1.411e-02 3.527 3.404 3.612 3.051
0.01471 0.00000 9.00000 1.3100297451 2.5205880479    1.310  0.514  3.8258  4.296    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-13      0.00 7.277e-01 2.582e-01 2.494e-03 6.818e-04 6.198e-03 -1.000 1.411e-02 3.485 3.362 3.567 3.014
0.01471 0.00000 9.00000 1.3499999046 2.5249313472    1.350  0.580  3.8327  4.272    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-13      0.00 7.271e-01 2.588e-01 2.498e-03 6.829e-04 6.207e-03 -1.000 1.410e-02 3.321 3.200 3.392 2.868
